depth,expected_energy,model_version,parameter_index,restart,round,seed,stage,step,value
3,-0.21159086941894273,base,,10,,7,restart,,0.47202465117073344
3,-0.21159086941894273,base,,11,,7,restart,,1.368651808067666
3,-0.21159086941894273,base,0,,0,7,coordinate_descent,0.6,-0.10476103876403046
3,-0.21159086941894273,base,0,,0,7,coordinate_descent,0.6,-0.1618857378721554
3,-0.21159086941894273,base,1,,0,7,coordinate_descent,0.6,-0.10735212195704442
3,-0.21159086941894273,base,1,,0,7,coordinate_descent,0.6,-0.13229001359599074
3,-0.21159086941894273,base,2,,0,7,coordinate_descent,0.6,-0.03156437976291017
3,-0.21159086941894273,base,2,,0,7,coordinate_descent,0.6,-0.030164346142059498
3,-0.21159086941894273,base,3,,0,7,coordinate_descent,0.6,0.9754174459900811
3,-0.21159086941894273,base,3,,0,7,coordinate_descent,0.6,0.6909690453823369
3,-0.21159086941894273,base,4,,0,7,coordinate_descent,0.6,0.8878733440847625
3,-0.21159086941894273,base,4,,0,7,coordinate_descent,0.6,0.6245902152802167
3,-0.21159086941894273,base,5,,0,7,coordinate_descent,0.6,0.8304039580301897
3,-0.21159086941894273,base,5,,0,7,coordinate_descent,0.6,0.5906433578503185
3,-0.21159086941894273,base,0,,1,7,coordinate_descent,0.3,-0.15112627130782408
3,-0.21159086941894273,base,0,,1,7,coordinate_descent,0.3,-0.16724617736237335
3,-0.21159086941894273,base,1,,1,7,coordinate_descent,0.3,-0.1601440934420254
3,-0.21159086941894273,base,1,,1,7,coordinate_descent,0.3,-0.15047762439540147
3,-0.21159086941894273,base,2,,1,7,coordinate_descent,0.3,-0.1548792508858945
3,-0.21159086941894273,base,2,,1,7,coordinate_descent,0.3,-0.1093990020584997
3,-0.21159086941894273,base,3,,1,7,coordinate_descent,0.3,0.3512243645454505
3,-0.21159086941894273,base,3,,1,7,coordinate_descent,0.3,-0.00690309991958515
3,-0.21159086941894273,base,4,,1,7,coordinate_descent,0.3,0.3080937744054949
3,-0.21159086941894273,base,4,,1,7,coordinate_descent,0.3,-0.03322381863615092
3,-0.21159086941894273,base,5,,1,7,coordinate_descent,0.3,0.27552065536518555
3,-0.21159086941894273,base,5,,1,7,coordinate_descent,0.3,-0.04201180068957786
3,-0.21159086941894273,base,0,,2,7,coordinate_descent,0.15,-0.16536905739075777
3,-0.21159086941894273,base,0,,2,7,coordinate_descent,0.15,-0.16725899688171142
3,-0.21159086941894273,base,1,,2,7,coordinate_descent,0.15,-0.1699940468965258
3,-0.21159086941894273,base,1,,2,7,coordinate_descent,0.15,-0.16725899688171142
3,-0.21159086941894273,base,2,,2,7,coordinate_descent,0.15,-0.168707256781583
3,-0.21159086941894273,base,2,,2,7,coordinate_descent,0.15,-0.15325829704729255
3,-0.21159086941894273,base,3,,2,7,coordinate_descent,0.15,-0.001253825354729959
3,-0.21159086941894273,base,3,,2,7,coordinate_descent,0.15,-0.1794399327544068
3,-0.21159086941894273,base,4,,2,7,coordinate_descent,0.15,-0.16886725506078576
3,-0.21159086941894273,base,4,,2,7,coordinate_descent,0.15,-0.020379327247409762
3,-0.21159086941894273,base,5,,2,7,coordinate_descent,0.15,-0.17029289229289146
3,-0.21159086941894273,base,5,,2,7,coordinate_descent,0.15,-0.013197102730940664
3,-0.21159086941894273,base,0,,3,7,coordinate_descent,0.075,-0.17633323020332292
3,-0.21159086941894273,base,0,,3,7,coordinate_descent,0.075,-0.18213093076298975
3,-0.21159086941894273,base,1,,3,7,coordinate_descent,0.075,-0.18001584543695964
3,-0.21159086941894273,base,1,,3,7,coordinate_descent,0.075,-0.1838634014959431
