B,bitstring,capital_avg,cvar95,eta,exp_return,feasible,gamma,lambda,liquidity_avg,model_version,objective_scaled,objective_unscaled,q,selected_count,source,var95,variance,volatility,worst_scenario_return
4,00100010,0.0675,0.004426693505716544,0.25,4.936702854886473e-05,False,0.25,8.0,1.5208333333333335,liquidity,-1.713022719432349,-95.92930058996447,0.5,2,exact_enumeration,0.0035506671249044535,4.498572617550642e-06,0.0021209838796065004,-0.006882314398296449
4,00100011,0.11750000000000001,0.006444997103783397,0.25,8.981360384372126e-05,False,0.25,8.0,2.0208333333333335,liquidity,-2.1404786275990033,-119.86683850952187,0.5,3,exact_enumeration,0.004885383177355723,9.55260838728081e-06,0.0030907294264106667,-0.011321551426582194
4,00100100,0.09250000000000001,0.005473862559169551,0.25,8.982017512998326e-05,False,0.25,8.0,1.8958333333333335,liquidity,-1.7137209620741918,-95.96840218944368,0.5,2,exact_enumeration,0.004225102493588888,7.205907329782572e-06,0.0026843821132213224,-0.009616898495225007
4,00100101,0.14250000000000002,0.00682670235858894,0.25,0.00013026675042483978,False,0.25,8.0,2.3958333333333335,liquidity,-2.141176876016689,-119.90594043244843,0.5,3,exact_enumeration,0.005422712267210689,1.1613048445266091e-05,0.0034077923125193665,-0.010985458898638797
4,00100110,0.15500000000000003,0.007504377048378928,0.25,0.00016217305545129318,False,0.25,8.0,2.5208333333333335,liquidity,-2.141409946103958,-119.91899236118614,0.5,3,exact_enumeration,0.005879400024094822,1.3234849753128262e-05,0.0036379733029707987,-0.01252863480901316
4,00100111,0.20500000000000002,0.00908594410130935,0.25,0.00020261963074614972,True,0.25,8.0,3.0208333333333335,liquidity,-2.283151645011854,-127.85652984181775,0.5,4,exact_enumeration,0.006926186710403914,1.916673710691674e-05,0.004377983223690646,-0.01389719521242695
4,00101000,0.0925,0.005174803887557674,0.25,5.64698285362403e-05,False,0.25,8.0,1.9208333333333334,liquidity,-1.7137668807043998,-95.97097363349397,0.5,2,exact_enumeration,0.003936933777615179,5.950446881758414e-06,0.0024393537836399242,-0.008956284103413852
4,00101001,0.14250000000000002,0.006901244950075195,0.25,9.691640383109682e-05,False,0.25,8.0,2.4208333333333334,liquidity,-2.1412227936747987,-119.90851182206123,0.5,3,exact_enumeration,0.005125976760918063,1.0466462996067962e-05,0.0032351913384014806,-0.012841700449387752
4,00101010,0.155,0.006602539637501995,0.25,0.00012882270885755022,False,0.25,8.0,2.5458333333333334,liquidity,-2.141455873703236,-119.92156430750454,0.5,3,exact_enumeration,0.005408731175710681,1.097485311022325e-05,0.0033128315849471203,-0.01251606712463604
4,00101011,0.20500000000000002,0.008526645690974178,0.25,0.00016926928415240673,True,0.25,8.0,3.0458333333333334,liquidity,-2.2831975716390343,-127.85910173369865,0.5,4,exact_enumeration,0.006388701320335548,1.7015615462837753e-05,0.004124998843980172,-0.016194936836984343
4,00101100,0.18,0.007534336613227885,0.25,0.00016927585543866875,False,0.25,8.0,2.9208333333333334,liquidity,-2.1421541114859712,-119.96066563487364,0.5,3,exact_enumeration,0.006082515525616832,1.4226408025635501e-05,0.003771791089871694,-0.010857792194697447
